"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"203","#BernieSanders vs. #Homophobic #Congressman in 1995 https://t.co/Y2iyORFVpk via @YouTube #history #gayrights #education #politics #America",FALSE,0,NA,2016-12-10 00:27:14,FALSE,NA,"807381121000472577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SueBARKO",0,FALSE,FALSE,NA,NA
"204","This Woman<U+2019>s Court Case Could Secure LGBT Rights in the Workplace https://t.co/wRj4tsCPsw via @thecut #GayRights<U+2026> https://t.co/byxy2jCjj8",FALSE,1,NA,2016-12-09 23:12:17,TRUE,NA,"807362258481377281",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitriteReform",1,FALSE,FALSE,NA,NA
"205","What do you think this will mean for our future? @EqualityPower #GayRights #LGBT https://t.co/rEl1McAoDL",FALSE,0,NA,2016-12-09 23:00:13,FALSE,NA,"807359223214510081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitriteReform",0,FALSE,FALSE,NA,NA
"206","Way to go #Malta, keep moving forward. #LGBT #HumanRights #GayRights https://t.co/Rjb88jKW9P",FALSE,0,NA,2016-12-09 22:15:29,FALSE,NA,"807347967342608384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitriteReform",0,FALSE,FALSE,NA,NA
"207","Inch by inch change happens...... even in the other direction. #GayRights #HumanRights #LGBT https://t.co/KARN9nH82P",FALSE,0,NA,2016-12-09 22:12:30,FALSE,NA,"807347216386031616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NitriteReform",0,FALSE,FALSE,NA,NA
"208","@JoyAnnReid @Gayrightsreport @CNN @gayrightnetwork We can't let them bring us backwards.  We will stand up for ourselves.  #gayrights",FALSE,1,"JoyAnnReid",2016-12-09 20:36:01,FALSE,"807320960122716160","807322934192861184","49698134","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mamaluce44",0,FALSE,FALSE,NA,NA
"209","RT @clarionproject: International activism does work - look at the successes of the #gayrights &amp; anti-apartheid movements. #Islamism can be<U+2026>",FALSE,0,NA,2016-12-09 20:27:30,FALSE,NA,"807320790156746752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CanadianVoter01",3,TRUE,FALSE,NA,NA
"210","clarionproject: International activism does work - look at the successes of the #gayrights &amp; anti-apartheid movements. #Islamism can be def<U+2026>",FALSE,0,NA,2016-12-09 20:24:14,FALSE,NA,"807319969063174148",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Luandrew169",0,FALSE,FALSE,NA,NA
"211","International activism does work - look at the successes of the #gayrights &amp; anti-apartheid movements. #Islamism can be defeated too.",FALSE,6,NA,2016-12-09 20:22:01,FALSE,NA,"807319411841441793",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","clarionproject",3,FALSE,FALSE,NA,NA
"212","Am I the only one who thinks there should be emoji flags for the sexualities? #gaypower #yayforgay #love #gayrights",FALSE,0,NA,2016-12-09 19:17:38,FALSE,NA,"807303208393641988",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","kayrem1010",0,FALSE,FALSE,NA,NA
