"","element_id","sentence_id","word_count","sentiment"
"185",136,2,7,-0.173233716795896
"186",137,1,11,0.113066754216661
"187",137,2,7,0
"188",138,1,15,-0.161374306091976
"189",139,1,15,-0.161374306091976
"190",140,1,11,0.0376889180722205
"191",140,2,7,-0.173233716795896
"192",141,1,6,0
"193",141,2,7,0.0708683386892301
"194",141,3,6,0.0510310363079829
"195",142,1,7,0
"196",143,1,22,-0.159900537266708
"197",144,1,20,0.139754248593737
"198",145,1,20,0.167705098312484
"199",145,2,4,0.1875
"200",146,1,5,0
"201",146,2,9,0.0833333333333333
"202",147,1,13,0.0520031433961152
"203",147,2,2,-0.279896434219675
"204",147,3,4,0
"205",148,1,22,0.274495922307848
"206",149,1,20,0.153729673453111
"207",150,1,13,0.0520031433961152
"208",150,2,2,-0.279896434219675
"209",150,3,4,0
"210",151,1,17,-0.0480018424551076
"211",152,1,11,-0.0753778361444409
"212",153,1,9,0
"213",154,1,10,0.434813178273152
"214",155,1,17,0.151584765647708
"215",156,1,5,0
"216",156,2,9,0.0833333333333333
"217",157,1,10,0.0395284707521047
"218",158,1,NA,0
"219",158,2,9,0
"220",159,1,3,0
"221",159,2,9,0.0833333333333333
"222",160,1,17,0.272852578165875
"223",161,1,9,0
"224",162,1,9,0
"225",163,1,9,0
"226",164,1,7,0
"227",165,1,10,0
"228",166,1,7,0.14173667737846
"229",167,1,12,0.153358665253494
"230",168,1,16,0.09375
"231",169,1,13,0.138675049056307
"232",170,1,17,0
"233",171,1,15,-0.0511018635957923
"234",172,1,16,0
"235",173,1,12,0.288675134594813
"236",174,1,9,0.166666666666667
"237",174,2,5,0.223606797749979
"238",175,1,22,-0.159900537266708
"239",176,1,16,0.140625
"240",177,1,14,0.150334448575739
"241",178,1,5,0
"242",178,2,17,0.0732659700630589
"243",179,1,17,-0.547784033117775
"244",180,1,4,-0.3125
"245",180,2,3,0
"246",181,1,8,0.110485434560398
"247",181,2,4,0.09375
"248",181,3,5,0
"249",182,1,6,0.127577590769957
"250",182,2,4,0.09375
"251",182,3,6,0
"252",183,1,8,0.110485434560398
"253",183,2,4,0.09375
"254",183,3,5,0
"255",184,1,8,0.110485434560398
"256",184,2,4,0.09375
"257",184,3,5,0
"258",185,1,8,0.110485434560398
"259",185,2,4,0.09375
"260",185,3,5,0
"261",186,1,6,0.127577590769957
"262",186,2,4,0.09375
